"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.330586917E0,-3.068354188E0,-3.278785831E0,1.112324093E0,4.626283480E0
2.340589917E0,-3.779132075E0,-4.474413378E0,1.214666666E0,5.981440414E0
2.350592917E0,-3.870169422E0,-5.259909033E0,5.328661910E-1,6.552007385E0
2.360595917E0,-3.853123034E0,-5.622694851E0,-6.426921038E-1,6.846481406E0
2.370598917E0,-3.499608854E0,-6.963412283E0,1.039903915E-1,7.794048162E0
2.380601917E0,-4.023926343E0,-7.151054111E0,-3.390917301E0,8.878506533E0
2.390604917E0,-5.366190364E0,-8.525639786E0,-2.355708700E0,1.034562208E1
2.400607917E0,-6.833989427E0,-1.091130202E1,-8.230540752E-3,1.287478120E1
2.410611917E0,-8.639245924E0,-1.467921738E1,1.712272904E0,1.711864105E1
2.420614917E0,-1.009737545E1,-1.854022158E1,3.378886070E0,2.138021698E1
2.430617917E0,-1.095150630E1,-2.129218205E1,4.271626092E0,2.432158088E1
2.440620917E0,-1.035661409E1,-2.162332625E1,3.387717705E0,2.421372183E1
2.450623917E0,-7.918650854E0,-1.928521182E1,2.898177116E0,2.104813191E1
2.460626917E0,-5.396064373E0,-1.600427480E1,3.120226300E0,1.717527685E1
2.470630125E0,-3.244902971E0,-1.371078983E1,2.738432354E0,1.435319354E1
2.480633125E0,-1.313784280E0,-1.145846575E1,1.633969331E0,1.164870474E1
2.490636125E0,1.265078728E-1,-8.308498170E0,3.397571433E-1,8.316404332E0
2.500639125E0,1.665580110E0,-5.435479869E0,-9.791361415E-1,5.768648550E0
2.510642125E0,3.082084035E0,-3.076865687E0,-2.018510883E0,4.800076108E0
2.520645125E0,4.269887130E0,-8.577830279E-1,-2.636014279E0,5.090805349E0
2.530648125E0,5.038429953E0,1.290063588E0,-3.193587806E0,6.103199450E0
2.540651125E0,4.991018389E0,3.434593078E0,-3.314888295E0,6.906169603E0
2.550654125E0,4.651907656E0,5.696369183E0,-3.007194359E0,7.945570126E0
2.560657125E0,4.601901683E0,7.935851024E0,-2.653825482E0,9.549765456E0
2.570660125E0,5.055011487E0,9.983526649E0,-1.700402471E0,1.131880356E1
2.580663125E0,5.864779519E0,1.128411581E1,-3.720466375E-2,1.271724391E1
2.590666125E0,6.319733827E0,1.163585156E1,7.113868743E-1,1.326039775E1
2.600669125E0,6.622768117E0,1.178061459E1,6.252883780E-1,1.352903999E1
2.610673125E0,7.059267443E0,1.192705927E1,1.788633301E-1,1.386073562E1
2.620676125E0,7.747014025E0,1.229289850E1,-3.091843915E-1,1.453365663E1
2.630679125E0,1.050949539E1,1.288590207E1,-6.616938005E-1,1.664132820E1
2.640682125E0,1.187272694E1,1.061457921E1,-2.673648713E0,1.614866355E1
2.650685125E0,9.960990311E0,8.212456484E0,-3.631952394E0,1.341107183E1
2.660688125E0,8.327678207E0,7.296543362E0,-3.583059731E0,1.163735736E1
2.670691125E0,7.391210952E0,6.792379471E0,-2.596835010E0,1.036870148E1
2.680694125E0,6.983191659E0,6.719395110E0,-1.380812960E0,9.788865145E0
2.690697125E0,6.799601952E0,7.296061551E0,-6.053061032E-1,9.991671349E0
2.700700125E0,6.636950539E0,8.552484353E0,-1.216068463E-1,1.082630543E1
2.710703125E0,6.342822143E0,9.704890451E0,1.931067089E-1,1.159541209E1
2.720706125E0,5.862044191E0,1.049456511E1,4.276127644E-1,1.202839605E1
2.730709125E0,5.330611811E0,1.082758977E1,6.354765666E-1,1.208536110E1
2.740712125E0,4.688964385E0,1.089080285E1,9.665587807E-1,1.189664699E1
2.750715125E0,4.054296196E0,1.075236534E1,1.194084467E0,1.155320370E1
2.760718125E0,3.407894692E0,1.041517630E1,1.433595775E0,1.105191569E1
2.770721125E0,2.798808071E0,1.005238463E1,1.693750094E0,1.057130800E1
2.780724125E0,2.199825439E0,9.705859335E0,1.946062127E0,1.014051750E1
